"";"mandante";"visitante";"time"
"303";"FOR";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"304";"GRE";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"305";"ATL";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"306";"SAN";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"307";"PAL";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"308";"FLA";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"309";"CUI";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"310";"JUV";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"311";"FLU";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"312";"COR";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"313";"ATL";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"314";"CHA";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"315";"RED";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"316";"BAH";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"317";"CEA";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"318";"INT";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"319";"AME";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"320";"SAO";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"321";"SAN";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"322";"CUI";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"323";"JUV";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"324";"ATH";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"325";"SPO";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"326";"FOR";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"327";"GRE";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"328";"AME";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"329";"PAL";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"330";"FLA";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"331";"ATL";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"332";"CHA";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
