"";"data";"hora";"natureza_acidente";"situacao";"bairro";"endereco";"numero";"detalhe_endereco_acidente";"complemento";"bairro_cruzamento";"num_semaforo";"sentido_via";"tipo";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas";"vitimasfatais";"acidente_verificado";"tempo_clima";"situacao_semaforo";"sinalizacao";"condicao_via";"conservacao_via";"ponto_controle";"situacao_placa";"velocidade_max_via";"mao_direcao";"divisao_via1";"divisao_via2";"divisao_via3"
"1728";2020-02-24;"15:49:00";"SEM VÍTIMA";"FINALIZADA";"IMBIRIBEIRA";"AV PRESIDENTE DUTRA";"4983";"";"";"IMBIRIBEIRA";NA;"SUBURBIO";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Agente";"Não há placas";"60 km/h";"Única";"Faixa seccionada";"";""
"1729";2020-02-24;"16:53:00";"SEM VÍTIMA";"CANCELADA";"CORDEIRO";"AV CAXANGA";"";"";"";"CORDEIRO";"234";"SUBURBIO";"ABALROAMENTO LONGITUDINAL";1;"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Agente";"Outras";"60 km/h";"Única";"Canteiro central";"";""
"1730";2020-02-24;"19:14:00";"SEM VÍTIMA";"FINALIZADA";"";"AV CORREIA DE BRITO";"741";"";"MERCADO DE SITIO NOVO";"";NA;"CIDADE";"COLISÃO TRASEIRA";3;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Dupla";"Faixa contínua";"";""
"1731";2020-02-24;"19:31:00";"SEM VÍTIMA";"CANCELADA";"SÃO JOSÉ";"C SANTA RITA";"";"";"E/F A ANTIGA RODOVIARIA";"SÃO JOSÉ";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1732";2020-02-24;"20:27:00";"SEM VÍTIMA";"FINALIZADA";"SÃO JOSÉ";"AV SUL";"147";"";"ANTES DO FORTE DAS CINCO PONTAS";"SÃO JOSÉ";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"Longo da via";"Bom";"";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Outras";"";"Única";"Faixa seccionada";"";""
"1733";2020-02-24;"20:53:00";"SEM VÍTIMA";"FINALIZADA";"SANTO AMARO";"PTE DO LIMOEIRO";"";"";"PRÓXIMO AO POSTO PETRÓBRAS";"SANTO AMARO";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Ponte";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Dupla";"Faixa contínua";"Faixa seccionada";""
"1734";2020-02-24;"21:20:00";"SEM VÍTIMA";"FINALIZADA";"BOA VISTA";"RUA DO HOSPICIO";"";"";"CÂMARA DOS VERIADORES";"BOA VISTA";"31";"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"Outras";"";"Única";"Faixa seccionada";"Não existe";""
"1735";2020-02-24;"21:59:00";"SEM VÍTIMA";"FINALIZADA";"SÃO JOSÉ";"RUA IMPERIAL";"";"RUA DO PEIXOTO";"EM FRENTE A IGREJA DE SÃO JOSÉ";"SÃO JOSÉ";"207";"SUBURBIO";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"Cruzamento";"Bom";"Sem defeito";"Ilegível";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Única";"Não existe";"";""
"1736";2020-02-24;"22:19:00";"SEM VÍTIMA";"CANCELADA";"VASCO DA GAMA";"AV NORTE";"";"";"E/F A PRC LARGO DOM LUIZ";"VASCO DA GAMA";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1737";2020-02-24;"23:23:00";"SEM VÍTIMA";"FINALIZADA";"SANTO AMARO";"AV NORTE";"";"";"E/F A RÁDIO UNIVERSITÁRIA";"SANTO AMARO";NA;"";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"60 km/h";"Dupla";"Canteiro central";"";""
"1738";2020-02-25;"04:46:00";"SEM VÍTIMA";"CANCELADA";"SÃO JOSÉ";"AV SUL";"";"C SANTA RITA";"ANTES DA PONTE GIRATORIA /EM FRENTE AO ARMAZEM 16- SEMÁFORO 076";"SÃO JOSÉ";NA;"";"COLISÃO";1;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1739";2020-02-25;"05:21:00";"COM VÍTIMA";"FINALIZADA";"SANTO AMARO";"AV GOVERNADOR AGAMENON MAGALHAES";"";"RUA ODORICO MENDES";"E/F A DELEGACIA 13° BATALHÃO / SEMÁFORO 049 ---- VT 13 NO LOCAL";"SANTO AMARO";"49";"CIDADE";"ABALROAMENTO TRANSVERSAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"";"60 km/h";"Dupla";"Canal";"";""
"1740";2020-02-25;"07:32:00";"SEM VÍTIMA";"FINALIZADA";"ILHA DO LEITE";"RUA ANTONIO GOMES DE FREITAS";"174";"";"LADO OPOSTO AO SEOPE ( HOSPITAL DOS OLHOS )";"ILHA DO LEITE";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"";"";"Única";"Faixa seccionada";"";""
