"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"131","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"132","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"133","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"134","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"135","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"136","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"137","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"138","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"139","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"140","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"141","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"142","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"143","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"144","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"145","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"146","EREM","Urbana","N2","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[0,2.7)"
"147","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"148","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"149","EREM","Urbana","N3","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"150","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"151","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"152","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
