ANO;ID;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2019;26058430;EREM;482,9502427;11,8;14,3;14,2;6;9,5;9,5;9,5;9,5
2019;26058960;Regular;445,9574561;40;47,7;42;31,6;4,2;4,3;4,1;4,1
2019;26059088;EREM;474,022037;10,4;11,2;13,8;6,5;9,5;9,5;9,5;9,5
2019;26059789;EREM;457,6945652;27,5;36,5;7,8;33,3;8,4;9,5;9,5;9,5
2019;26060124;EREM;477,74375;14;18,2;10,2;14,2;8,1;8,6;8,6;7,4
2019;26061023;EREM;461,4070652;12,8;12,2;12,2;14,2;9,5;9,5;9,5;9,5
2019;26061643;EREM;457,9660714;30,1;32,6;28,3;27,4;9,5;9,5;9,5;9,5
2019;26061724;Regular;444,4889706;37,9;47,4;39,8;20,4;4,5;4,5;4,5;4,5
2019;26062410;EREM;492,4467391;7,4;8,4;7,7;5,2;9,5;9,5;9,5;9,5
2019;26062585;Regular;475,5495098;38;41,4;45,1;28,9;4;4;3,9;4
2019;26063310;EREM;478,8859375;18,1;24,2;15;11,3;9,5;9,5;9,5;9,5
2019;26063530;EREM;474,7086957;24,9;22,8;26,9;25,3;9,5;9,5;9,5;9,5
2019;26063905;EREM;505,5765504;14,3;20,4;14,6;8,3;9,5;9,5;9,5;9,5
2019;26063999;Regular;477,2076642;32,8;41,4;29,1;29,2;4,1;4,1;4,2;4
2019;26064006;Regular;482,345;42,6;53,7;35,6;38,6;3,8;3,7;3,9;3,9
2019;26064294;EREM;476,3224138;20,6;20,6;24,5;16,3;9,5;9,5;9,5;9,5
2019;26064596;Privada;591,4446429;11,2;19,7;6,6;2,4;10,3;10,3;10,3;10,3
2019;26064618;EREM;516,7305921;21,3;27,8;25;13,5;9,5;9,5;9,5;9,5
2019;26064626;EREM;487,6327982;21,9;24,1;21,8;19,9;9,8;9,8;9,8;9,8
2019;26064642;Regular;469,4988971;28,5;25,4;34,2;24,8;4,5;4,5;4,5;4,5
2019;26065401;Regular;481,8683824;24,6;20;28,9;25,9;4,9;6,1;4,3;4,3
2019;26065568;EREM;452,0572581;25;28,3;28;16,7;9,1;9,5;9,5;9,5
2019;26065592;EREM;471,6640244;9,9;12,8;9,6;6,5;9,5;9,5;9,5;9,5
2019;26066181;Regular;470,4935484;34,6;36,8;36,3;29,8;4,1;4,2;4,1;4,1
2019;26066220;EREM;473,2766129;16,1;20,3;13;12;9,5;9,5;9,5;9,5
