cod_escola;tp_escola;tp_localizacao;idepe;p_em;nota_lp;nota_mt;nota_saep;in_internet;in_noturno;in_eja;qt_mat_bas;tx_mat_med_int;tx_mat_bas_fem;tx_mat_bas_branca;inse;mha_em;tdi_em
26055082;SEMI_INTEGRAL;Urbana;5,34;0,92;5,7;5,86;5,78;1;1;1;596;0,74;0,533557047;0,285234899;4,81;9,5;19,4
26098482;SEMI_INTEGRAL;Urbana;4,73;0,96;5,01;4,84;4,92;1;1;1;728;0,87;0,556318681;0,086538462;4,37;9,5;18,4
26009315;SEMI_INTEGRAL;Urbana;4,81;0,98;5,05;4,8;4,92;1;1;1;362;0,76;0,5;0,102209945;3,83;9;14,9
26093030;SEMI_INTEGRAL;Urbana;5,02;0,97;4,87;5,44;5,15;1;1;1;575;0,56;0,52173913;0,179130435;3,92;8,1;26
26098822;SEMI_INTEGRAL;Urbana;5,59;0,96;5,41;6,22;5,82;1;1;1;571;0,75;0,562171629;0,136602452;4,02;8,8;25,8
26181649;SEMI_INTEGRAL;Rural;4,17;1;4,26;4,08;4,17;1;1;1;1378;0,19;0,531204644;0,050072569;4,08;9,5;21,9
26099489;SEMI_INTEGRAL;Urbana;4,8;0,99;5,04;4,65;4,84;1;1;0;727;0,81;0,52957359;0,027510316;4,5;8,3;16,4
26099322;SEMI_INTEGRAL;Urbana;3,86;0,98;4,17;3,7;3,93;1;1;1;616;0,62;0,540584416;0,167207792;4,07;9,1;40,3
26003066;SEMI_INTEGRAL;Urbana;4,37;0,95;4,57;4,65;4,61;1;0;0;455;1;0,606593407;0,334065934;4,14;9,5;8,6
26132001;SEMI_INTEGRAL;Urbana;4,99;0,99;4,93;5,18;5,06;1;1;1;430;0,15;0,525581395;0,11627907;4,88;6;12,7
26088606;SEMI_INTEGRAL;Urbana;4,59;0,93;4,66;5,17;4,92;1;1;1;357;0,77;0,56302521;0,193277311;4,05;9,5;27,9
26016729;SEMI_INTEGRAL;Urbana;6,92;0,99;6,12;7,89;7;1;1;1;507;0,28;0,520710059;0,163708087;4,18;7;11,3
26016540;SEMI_INTEGRAL;Urbana;5,18;0,96;4,54;6,23;5,39;1;1;1;289;0,77;0,567474048;0,211072664;4,13;9,5;15,8
26063530;SEMI_INTEGRAL;Urbana;5,4;0,99;4,89;6,03;5,46;1;0;0;289;0,79;0,557093426;0,588235294;4,01;9,5;24,9
26099853;SEMI_INTEGRAL;Urbana;4,47;0,91;4,6;5,19;4,89;1;1;0;285;0,92;0,589473684;0,052631579;3,84;9;32,4
26075687;SEMI_INTEGRAL;Urbana;4,82;0,95;5,16;5,03;5,1;1;1;1;896;0,63;0,525669643;0,322544643;4,65;8,3;24,4
26075385;SEMI_INTEGRAL;Urbana;4,31;0,89;4,85;4,87;4,86;1;1;1;606;0,72;0,51650165;0,198019802;4,42;9,5;31,2
26089424;SEMI_INTEGRAL;Urbana;4,52;0,98;4,39;4,8;4,59;1;0;0;545;1;0,497247706;0,036697248;4,23;9,5;27,2
26056658;SEMI_INTEGRAL;Urbana;4,77;0,95;4,91;5,13;5,02;1;0;0;522;1;0,544061303;0,362068966;4,12;9,5;23,9
26076780;SEMI_INTEGRAL;Urbana;4,05;0,91;4,42;4,46;4,44;1;1;1;989;0,46;0,540950455;0,195146613;3,88;8;38,7
26084317;SEMI_INTEGRAL;Urbana;5,13;0,92;5,04;6,09;5,56;1;1;1;236;0,92;0,487288136;0,423728814;3,97;9,5;21,2
26105195;SEMI_INTEGRAL;Urbana;5,66;0,98;5,68;5,82;5,75;1;1;1;681;0,79;0,51835536;0,135095448;4,53;6,4;15,7
26105250;SEMI_INTEGRAL;Urbana;4,56;0,96;4,51;5;4,75;1;1;0;478;0,82;0,493723849;0,083682008;4,43;8,4;22
26105314;SEMI_INTEGRAL;Urbana;4,5;0,95;4,57;4,88;4,73;1;1;1;934;0,74;0,502141328;0,115631692;4,5;9,5;17,4
26105888;SEMI_INTEGRAL;Rural;5,36;0,99;5,14;5,64;5,39;1;1;1;676;0,12;0,427514793;0,094674556;4,45;5,6;28,2
26105519;SEMI_INTEGRAL;Urbana;3,87;0,89;4,55;4,16;4,35;1;1;1;1308;0,21;0,504587156;0,094801223;4,38;4,9;33,8
